INFO:
19   0.095          -3.83765       1.03798        
20   0.1            -3.69037       0.954842       
21   0.105          -3.54892       0.880784       
22   0.11           -3.41292       0.814611       
23   0.115          -3.282         0.755312       
24   0.12           -3.15586       0.702026       
25   0.125          -3.0342        0.654015       
26   0.13           -2.91676       0.610644       
27   0.135          -2.80331       0.571368       
28   0.14           -2.69362       0.535713       
29   0.145          -2.58749       0.50327        
30   0.15           -2.48475       0.473683       
31   0.155          -2.38521       0.446641       
32   0.16           -2.28873       0.421875       
33   0.165          -2.19516       0.399146       
34   0.17           -2.10437       0.378247       
35   0.175          -2.01623       0.358995       
36   0.18           -1.93063       0.341229       
37   0.185          -1.84747       0.324806       
38   0.19           -1.76664       0.3096         
39   0.195          -1.68806       0.2955         
40   0.2            -1.61163       0.282405       
41   0.205          -1.53729       0.270227       
42   0.21           -1.46494       0.258886       
43   0.215          -1.39453       0.248311       
44   0.22           -1.32598       0.238438       
45   0.225          -1.25923       0.22921        
46   0.23           -1.19422       0.220574       
47   0.235          -1.1309        0.212483       
48   0.24           -1.0692        0.204895       
49   0.245          -1.00909       0.197771       
50   0.25           -0.950498      0.191076       
51   0.255          -0.893389      0.184778       
52   0.26           -0.837715      0.178847       
53   0.265          -0.783432      0.173257       
54   0.27           -0.730498      0.167983       
55   0.275          -0.678873      0.163003       
56   0.28           -0.628516      0.158296       
57   0.285          -0.57939       0.153843       
58   0.29           -0.531458      0.149626       
59   0.295          -0.484684      0.14563        
60   0.3            -0.439035      0.141839       
61   0.305          -0.394477      0.13824        
62   0.31           -0.350977      0.134821       
63   0.315          -0.308505      0.131569       
64   0.32           -0.267029      0.128473       
65   0.325          -0.226521      0.125524       
66   0.33           -0.186952      0.122713       
67   0.335          -0.148295      0.12003        
68   0.34           -0.110522      0.117468       
69   0.345          -0.0736081     0.115018       
70   0.35           -0.0375277     0.112675       
71   0.355          -0.0022565     0.110432       
72   0.36           0.0322289      0.108283       
73   0.365          0.0659514      0.106222       
74   0.37           0.0989331      0.104245       
75   0.375          0.131195       0.102345       
76   0.38           0.162759       0.100519       
77   0.385          0.193643       0.0987634      
78   0.39           0.223868       0.0970732      
79   0.395          0.253452       0.0954451      
80   0.4            0.282414       0.0938757      
81   0.405          0.310771       0.0923619      
82   0.41           0.338539       0.0909006      
83   0.415          0.365735       0.0894892      
